"ID","Name","Stable ability ID","Slot","Control","Power name","Type","Declared description","Full source parameters","Definition source"
"nova","NOVA","nova.r","r","R","Meteor Storm","meteor","Not separately declared; see character identity and parameters","{""type"":""meteor"",""name"":""Meteor Storm"",""cost"":34,""cd"":18,""count"":14,""interval"":0.18,""spread"":28,""radius"":3,""damage"":34,""blast"":18,""color"":""#ff8a3d"",""color2"":""#ffd24a""}","src/data/characters.js"
"rime","RIME","rime.lmb","lmb","LMB","Frost Breath","cone","Not separately declared; see character identity and parameters","{""type"":""cone"",""name"":""Frost Breath"",""kiPerSec"":18,""range"":40,""arc"":1.2,""dps"":24,""cold"":true,""color"":""#bfeaff""}","src/data/characters.js"
"rime","RIME","rime.rmb","rmb","RMB","Shard Volley","volley","Not separately declared; see character identity and parameters","{""type"":""volley"",""name"":""Shard Volley"",""cost"":3,""interval"":0.09,""damage"":7,""speed"":120,""radius"":0.8,""blast"":3,""spread"":0.08,""color"":""#bfeaff"",""color2"":""#eaffff"",""dtype"":""cold""}","src/data/characters.js"
"rime","RIME","rime.q","q","Q","Ice Wall","construct","Not separately declared; see character identity and parameters","{""type"":""construct"",""name"":""Ice Wall"",""cost"":10,""cd"":6,""construct"":""wall"",""duration"":9,""holdTrigger"":true,""color"":""#bfeaff"",""dtype"":""cold""}","src/data/characters.js"
"rime","RIME","rime.e","e","E","Cryo Beam","beam","Not separately declared; see character identity and parameters","{""type"":""beam"",""name"":""Cryo Beam"",""cost"":5,""cd"":0.4,""radius"":1.6,""tipSpeed"":734,""maxLen"":130,""dps"":46,""kiPerSec"":18,""steer"":10,""color"":""#7fd4ff"",""color2"":""#eaffff"",""dtype"":""cold""}","src/data/characters.js"
"rime","RIME","rime.f","f","H","Glacier Spike","projectile","Not separately declared; see character identity and parameters","{""type"":""projectile"",""name"":""Glacier Spike"",""cost"":9,""cd"":0.6,""damage"":22,""speed"":70,""radius"":1.6,""blast"":8,""shock"":true,""color"":""#7fd4ff"",""color2"":""#eaffff""}","src/data/characters.js"
"rime","RIME","rime.shift","shift","SHIFT","Ice Skate","dash","Not separately declared; see character identity and parameters","{""type"":""dash"",""name"":""Ice Skate"",""cost"":4,""cd"":0.5,""power"":100,""iframes"":0.24,""color"":""#eaffff""}","src/data/characters.js"
"rime","RIME","rime.r","r","R","Absolute Zero","charge","Not separately declared; see character identity and parameters","{""type"":""charge"",""name"":""Absolute Zero"",""cost"":10,""cd"":14,""kiPerSec"":14,""maxCharge"":2.2,""minR"":2,""maxR"":7,""dmgMin"":26,""dmgMax"":80,""maxBlast"":36,""speedMin"":36,""speedMax"":60,""chargePower"":3,""color"":""#bfeaff"",""color2"":""#eaffff"",""dtype"":""cold""}","src/data/characters.js"
"volt","VOLT","volt.lmb","lmb","LMB","Lightning Flurry","rush","Not separately declared; see character identity and parameters","{""type"":""rush"",""material"":""shock"",""name"":""Lightning Flurry"",""cost"":10,""cd"":1.1,""range"":60,""hits"":12,""interval"":0.05,""damage"":6,""finisher"":30,""color"":""#eaffff""}","src/data/characters.js"
"volt","VOLT","volt.rmb","rmb","RMB","Arc Beam","beam","Not separately declared; see character identity and parameters","{""type"":""beam"",""material"":""shock"",""name"":""Arc Beam"",""cost"":4,""cd"":0.3,""radius"":1,""tipSpeed"":1080,""maxLen"":140,""dps"":58,""kiPerSec"":16,""steer"":15,""color"":""#eaffff"",""color2"":""#ffe066""}","src/data/characters.js"
"volt","VOLT","volt.q","q","Q","Chain Bolt","projectile","Not separately declared; see character identity and parameters","{""type"":""projectile"",""material"":""shock"",""name"":""Chain Bolt"",""shockDuration"":1.1,""cost"":6,""cd"":0.35,""damage"":14,""speed"":120,""radius"":1,""blast"":5,""homing"":3.4,""color"":""#ffe066"",""color2"":""#eaffff""}","src/data/characters.js"
"volt","VOLT","volt.e","e","E","Static Field","cone","Not separately declared; see character identity and parameters","{""type"":""cone"",""material"":""shock"",""name"":""Static Field"",""shockDuration"":0.8,""kiPerSec"":16,""range"":28,""arc"":1.3,""dps"":20,""push"":40,""color"":""#ffe066""}","src/data/characters.js"
"volt","VOLT","volt.f","f","H","Zap Step","teleport","Not separately declared; see character identity and parameters","{""type"":""teleport"",""name"":""Zap Step"",""cost"":8,""cd"":0.8,""range"":44,""color"":""#eaffff""}","src/data/characters.js"
"volt","VOLT","volt.shift","shift","SHIFT","Blink","dash","Not separately declared; see character identity and parameters","{""type"":""dash"",""name"":""Blink"",""cost"":3,""cd"":0.35,""power"":130,""iframes"":0.28,""color"":""#eaffff""}","src/data/characters.js"
"warden","WARDEN","warden.lmb","lmb","LMB","Force Push","cone","Not separately declared; see character identity and parameters","{""type"":""cone"",""name"":""Force Push"",""kiPerSec"":16,""range"":32,""arc"":1.25,""dps"":16,""push"":60,""lift"":6,""color"":""#7fe6ff""}","src/data/characters.js"
"warden","WARDEN","warden.rmb","rmb","RMB","Graviton","projectile","Not separately declared; see character identity and parameters","{""type"":""projectile"",""name"":""Graviton"",""cost"":9,""cd"":0.6,""damage"":22,""speed"":56,""radius"":1.9,""blast"":12,""grav"":9,""shock"":true,""color"":""#7fe6ff"",""color2"":""#d0f6ff""}","src/data/characters.js"
"warden","WARDEN","warden.q","q","Q","Singularity","growingorb","Not separately declared; see character identity and parameters","{""type"":""growingorb"",""name"":""Singularity"",""cost"":18,""cd"":12,""minR"":3.5,""maxR"":15,""growRate"":9,""kiPerSec"":15,""color"":""#7fe6ff"",""color2"":""#eaffff""}","src/data/characters.js"
"warden","WARDEN","warden.e","e","E","Anchor Slam","melee","Not separately declared; see character identity and parameters","{""type"":""melee"",""name"":""Anchor Slam"",""cost"":12,""cd"":1.1,""damage"":28,""range"":13,""arc"":0.8,""lunge"":44,""knock"":40,""launch"":20,""color"":""#7fe6ff""}","src/data/characters.js"
"warden","WARDEN","warden.f","f","H","Phase","teleport","Not separately declared; see character identity and parameters","{""type"":""teleport"",""name"":""Phase"",""cost"":10,""cd"":1.2,""range"":40,""color"":""#7fe6ff""}","src/data/characters.js"
"warden","WARDEN","warden.shift","shift","SHIFT","Slide","dash","Not separately declared; see character identity and parameters","{""type"":""dash"",""name"":""Slide"",""cost"":4,""cd"":0.5,""power"":92,""iframes"":0.22,""color"":""#7fe6ff""}","src/data/characters.js"
"warden","WARDEN","warden.r","r","R","Collapse","charge","Not separately declared; see character identity and parameters","{""type"":""charge"",""name"":""Collapse"",""cost"":10,""cd"":15,""kiPerSec"":13,""maxCharge"":2.4,""minR"":2,""maxR"":7.5,""dmgMin"":28,""dmgMax"":90,""maxBlast"":40,""speedMin"":34,""speedMax"":58,""chargePower"":3.2,""color"":""#7fe6ff"",""color2"":""#eaffff""}","src/data/characters.js"
"hive","HIVE","hive.lmb","lmb","LMB","Drone Swarm","summon","Not separately declared; see character identity and parameters","{""type"":""summon"",""name"":""Drone Swarm"",""cost"":16,""cd"":4,""count"":3,""max"":6,""duration"":12,""damage"":7,""interval"":0.7,""speed"":82,""color"":""#ffdf7a"",""color2"":""#fff""}","src/data/characters.js"
"hive","HIVE","hive.rmb","rmb","RMB","Sentinel","construct","Not separately declared; see character identity and parameters","{""type"":""construct"",""name"":""Sentinel"",""cost"":16,""cd"":7,""construct"":""turret"",""duration"":12,""color"":""#ffdf7a""}","src/data/characters.js"
"hive","HIVE","hive.q","q","Q","Formic Sting","projectile","Not separately declared; see character identity and parameters","{""type"":""projectile"",""name"":""Formic Sting"",""dtype"":""toxic"",""cost"":6,""cd"":0.35,""damage"":12,""speed"":96,""radius"":1,""blast"":4,""homing"":3,""payload"":""acid"",""color"":""#c8e04a"",""color2"":""#fff""}","src/data/characters.js"
"hive","HIVE","hive.e","e","E","Hunter Pack","summon","Not separately declared; see character identity and parameters","{""type"":""summon"",""name"":""Hunter Pack"",""cost"":24,""cd"":8,""count"":2,""max"":8,""duration"":14,""damage"":12,""interval"":0.55,""speed"":92,""color"":""#ffcf5a"",""color2"":""#fff""}","src/data/characters.js"
"hive","HIVE","hive.f","f","H","Scatter","cone","Not separately declared; see character identity and parameters","{""type"":""cone"",""name"":""Scatter"",""kiPerSec"":14,""range"":26,""arc"":1.2,""dps"":16,""push"":38,""color"":""#ffdf7a""}","src/data/characters.js"
"hive","HIVE","hive.shift","shift","SHIFT","Scramble","dash","Not separately declared; see character identity and parameters","{""type"":""dash"",""name"":""Scramble"",""cost"":5,""cd"":0.6,""power"":94,""iframes"":0.24,""color"":""#ffdf7a""}","src/data/characters.js"
"pyre","PYRE","pyre.lmb","lmb","LMB","Fireball","projectile","Not separately declared; see character identity and parameters","{""type"":""projectile"",""name"":""Fireball"",""cost"":7,""cd"":0.4,""damage"":18,""speed"":72,""radius"":1.6,""blast"":10,""grav"":8,""shock"":true,""color"":""#ff5a1a"",""color2"":""#ffb03a"",""dtype"":""fire""}","src/data/characters.js"
"pyre","PYRE","pyre.rmb","rmb","RMB","Flamethrower","cone","Not separately declared; see character identity and parameters","{""type"":""cone"",""name"":""Flamethrower"",""kiPerSec"":18,""range"":34,""arc"":1,""dps"":30,""push"":14,""color"":""#ff6a1a"",""dtype"":""fire""}","src/data/characters.js"
"pyre","PYRE","pyre.q","q","Q","Magma Bomb","charge","Not separately declared; see character identity and parameters","{""type"":""charge"",""name"":""Magma Bomb"",""cost"":6,""cd"":1,""kiPerSec"":12,""maxCharge"":2.2,""minR"":1.5,""maxR"":6.5,""dmgMin"":24,""dmgMax"":82,""maxBlast"":34,""speedMin"":40,""speedMax"":68,""chargePower"":3,""color"":""#ff5a1a"",""color2"":""#ffb03a"",""dtype"":""fire""}","src/data/characters.js"
"pyre","PYRE","pyre.e","e","E","Burning Fist","melee","Not separately declared; see character identity and parameters","{""type"":""melee"",""name"":""Burning Fist"",""cost"":12,""cd"":1,""damage"":26,""range"":12,""arc"":0.8,""lunge"":54,""knock"":48,""launch"":12,""fly"":true,""color"":""#ffb03a"",""dtype"":""fire""}","src/data/characters.js"
"pyre","PYRE","pyre.f","f","H","Cinder Burst","volley","Not separately declared; see character identity and parameters","{""type"":""volley"",""name"":""Cinder Burst"",""cost"":3,""interval"":0.08,""damage"":6,""speed"":100,""radius"":0.9,""blast"":3.6,""spread"":0.16,""color"":""#ff5a1a"",""color2"":""#ffb03a""}","src/data/characters.js"
"pyre","PYRE","pyre.shift","shift","SHIFT","Flare Dash","dash","Not separately declared; see character identity and parameters","{""type"":""dash"",""name"":""Flare Dash"",""cost"":5,""cd"":0.6,""power"":98,""iframes"":0.24,""color"":""#ffb03a""}","src/data/characters.js"
"pyre","PYRE","pyre.r","r","R","Rain of Fire","meteor","Not separately declared; see character identity and parameters","{""type"":""meteor"",""name"":""Rain of Fire"",""cost"":32,""cd"":18,""count"":12,""interval"":0.2,""spread"":26,""radius"":3,""damage"":32,""blast"":18,""color"":""#ff5a1a"",""color2"":""#ffb03a"",""dtype"":""fire""}","src/data/characters.js"
"torch","TORCH","torch.lmb","lmb","LMB","Flame Jet","beam","Not separately declared; see character identity and parameters","{""type"":""beam"",""material"":""fire"",""name"":""Flame Jet"",""cost"":4,""cd"":0.3,""radius"":1.4,""tipSpeed"":821,""maxLen"":120,""dps"":56,""kiPerSec"":16,""steer"":12,""color"":""#ff6a1a"",""color2"":""#ffd24a"",""dtype"":""fire""}","src/data/characters.js"
"torch","TORCH","torch.rmb","rmb","RMB","Fire Blast","cone","Not separately declared; see character identity and parameters","{""type"":""cone"",""name"":""Fire Blast"",""kiPerSec"":18,""range"":34,""arc"":1.05,""dps"":30,""push"":20,""color"":""#ff6a1a"",""dtype"":""fire""}","src/data/characters.js"
"torch","TORCH","torch.q","q","Q","Fireball","projectile","Not separately declared; see character identity and parameters","{""type"":""projectile"",""name"":""Fireball"",""cost"":7,""cd"":0.4,""damage"":16,""speed"":80,""radius"":1.5,""blast"":8,""homing"":2.4,""color"":""#ff5a1a"",""color2"":""#ffd24a"",""dtype"":""fire""}","src/data/characters.js"
"torch","TORCH","torch.e","e","E","Flaming Fist","melee","Not separately declared; see character identity and parameters","{""type"":""melee"",""name"":""Flaming Fist"",""cost"":12,""cd"":1,""damage"":24,""range"":12,""arc"":0.8,""lunge"":60,""knock"":48,""launch"":14,""fly"":true,""color"":""#ffd24a""}","src/data/characters.js"
"torch","TORCH","torch.f","f","H","Ember Storm","volley","Not separately declared; see character identity and parameters","{""type"":""volley"",""name"":""Ember Storm"",""cost"":3,""interval"":0.08,""damage"":6,""speed"":104,""radius"":0.85,""blast"":3.4,""spread"":0.14,""color"":""#ff6a1a"",""color2"":""#ffd24a"",""dtype"":""fire""}","src/data/characters.js"
"torch","TORCH","torch.shift","shift","SHIFT","Jet Dash","dash","Not separately declared; see character identity and parameters","{""type"":""dash"",""name"":""Jet Dash"",""cost"":4,""cd"":0.45,""power"":120,""iframes"":0.26,""color"":""#ffd24a""}","src/data/characters.js"
"torch","TORCH","torch.r","r","R","Supernova","nova","Not separately declared; see character identity and parameters","{""type"":""nova"",""name"":""Supernova"",""cost"":0,""cd"":22,""feedRate"":55,""maxFeed"":120,""minRadius"":16,""maxRadius"":44,""dmgMin"":30,""dmgMax"":95,""color"":""#ff6a1a"",""color2"":""#ffd24a""}","src/data/characters.js"
"apex","APEX","apex.lmb","lmb","LMB","Wave Cannon","beam","Not separately declared; see character identity and parameters","{""type"":""beam"",""material"":""air"",""name"":""Wave Cannon"",""cost"":8,""cd"":0.6,""radius"":2.4,""tipSpeed"":540,""maxLen"":150,""dps"":84,""kiPerSec"":22,""charge"":true,""maxCharge"":1.6,""kiChargePerSec"":14,""chargePower"":1.6,""chargeWidth"":true,""steer"":9,""color"":""#9dff5a"",""color2"":""#eaffea""}","src/data/characters.js"
"apex","APEX","apex.rmb","rmb","RMB","Tail Sweep","melee","Not separately declared; see character identity and parameters","{""type"":""melee"",""name"":""Tail Sweep"",""cost"":12,""cd"":1,""damage"":22,""range"":14,""arc"":1.1,""lunge"":36,""knock"":52,""launch"":16,""color"":""#bfff6a""}","src/data/characters.js"
"apex","APEX","apex.q","q","Q","Consume","lifedrain","Not separately declared; see character identity and parameters","{""type"":""lifedrain"",""name"":""Consume"",""kiPerSec"":14,""range"":26,""arc"":0.9,""dps"":22,""ratio"":0.6,""color"":""#9dff5a""}","src/data/characters.js"
"apex","APEX","apex.e","e","E","Afterimage","teleport","Not separately declared; see character identity and parameters","{""type"":""teleport"",""name"":""Afterimage"",""cost"":12,""cd"":1.4,""range"":52,""color"":""#bfff6a""}","src/data/characters.js"
"apex","APEX","apex.f","f","H","Regenerate","buff","Not separately declared; see character identity and parameters","{""type"":""buff"",""name"":""Regenerate"",""cost"":20,""cd"":16,""mult"":1.3,""dur"":8,""heal"":46,""color"":""#9dff5a"",""color2"":""#eaffea""}","src/data/characters.js"
"apex","APEX","apex.shift","shift","SHIFT","Burst Step","dash","Not separately declared; see character identity and parameters","{""type"":""dash"",""name"":""Burst Step"",""cost"":5,""cd"":0.5,""power"":98,""iframes"":0.24,""color"":""#bfff6a""}","src/data/characters.js"
"specter","SPECTER","specter.lmb","lmb","LMB","Solar Beam","beam","Not separately declared; see character identity and parameters","{""type"":""beam"",""material"":""light"",""name"":""Solar Beam"",""cost"":4,""cd"":0.3,""radius"":1,""tipSpeed"":994,""maxLen"":150,""dps"":58,""kiPerSec"":16,""steer"":13,""color"":""#ffe066"",""color2"":""#fff6c0"",""dtype"":""fire""}","src/data/characters.js"
"specter","SPECTER","specter.rmb","rmb","RMB","Density Punch","melee","Not separately declared; see character identity and parameters","{""type"":""melee"",""name"":""Density Punch"",""cost"":14,""cd"":1.1,""damage"":30,""range"":12,""arc"":0.75,""lunge"":44,""knock"":60,""launch"":20,""color"":""#ffe066""}","src/data/characters.js"
"specter","SPECTER","specter.q","q","Q","Intangibility","phase","Not separately declared; see character identity and parameters","{""type"":""phase"",""name"":""Intangibility"",""kiPerSec"":18,""color"":""#bfeaff""}","src/data/characters.js"
"specter","SPECTER","specter.e","e","E","Stone Bolt","projectile","Not separately declared; see character identity and parameters","{""type"":""projectile"",""name"":""Stone Bolt"",""cost"":8,""cd"":0.5,""damage"":18,""speed"":78,""radius"":1.4,""blast"":7,""homing"":2,""color"":""#ffe066"",""color2"":""#fff6c0""}","src/data/characters.js"
"specter","SPECTER","specter.f","f","H","Max Density","buff","Not separately declared; see character identity and parameters","{""type"":""buff"",""name"":""Max Density"",""cost"":24,""cd"":18,""mult"":1.6,""dur"":8,""invuln"":1.2,""color"":""#c9d4da"",""color2"":""#fff""}","src/data/characters.js"
"specter","SPECTER","specter.shift","shift","SHIFT","Phase Step","dash","Not separately declared; see character identity and parameters","{""type"":""dash"",""name"":""Phase Step"",""cost"":4,""cd"":0.5,""power"":100,""iframes"":0.3,""color"":""#bfeaff""}","src/data/characters.js"
"specter","SPECTER","specter.r","r","R","Solar Nova","charge","Not separately declared; see character identity and parameters","{""type"":""charge"",""name"":""Solar Nova"",""cost"":8,""cd"":14,""kiPerSec"":12,""maxCharge"":2.2,""minR"":1.6,""maxR"":6.5,""dmgMin"":24,""dmgMax"":82,""maxBlast"":34,""speedMin"":40,""speedMax"":68,""chargePower"":3,""color"":""#ffe066"",""color2"":""#fff6c0"",""dtype"":""fire""}","src/data/characters.js"
"vanguard","VANGUARD","vanguard.lmb","lmb","LMB","Eye Beam","beam","Not separately declared; see character identity and parameters","{""type"":""beam"",""name"":""Eye Beam"",""cost"":4,""cd"":0.28,""radius"":0.55,""tipSpeed"":3600,""maxLen"":150,""dps"":56,""kiPerSec"":16,""steer"":13,""faceOrigin"":true,""color"":""#ff4a4a"",""color2"":""#ffffff""}","src/data/characters.js"
"vanguard","VANGUARD","vanguard.rmb","rmb","RMB","Flying Tackle","melee","Not separately declared; see character identity and parameters","{""type"":""melee"",""name"":""Flying Tackle"",""cost"":14,""cd"":1.1,""damage"":28,""range"":13,""arc"":0.7,""lunge"":74,""knock"":64,""launch"":16,""fly"":true,""color"":""#ffd24a""}","src/data/characters.js"
