"id","name","family","group","lengthFeet","widthFeet","heightFeet","crew","troops","machineGuns","cannons","strategicPayload","missiles","emptyCells","printSecondsProposed","fabricators","layout","drawCalls","triangles"
"field-rifle","Service rifle · equipment print","Fleet","Equipment","3.4","0.4","1.5","0","0","0","0","—","—","0","12","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Ivory receiver · red stripe · stock, magazine and optic · fabrication prop","2","164"
"troop-plane","Twenty-troop jump transport","Fleet","Aircraft","98.4","111.7","26.2","2","20","1","0","—","—","0","210","aircraft-printer","Two pilots · twenty inward-facing troop seats · rear jump ramp · four propellers · defensive belly gun","23","4380"
"hover-transport","Armed hover transport","Fleet","Ground","39.4","26.2","13.3","2","10","1","0","—","2 large / 4 small","0","81","vehicle-printer / aircraft-printer","Two crew · ten rear troop seats · turret machine gun · two large and four small seekers","18","4308"
"mobile-fabricator","Mobile vehicle fabricator","Fleet","Ground","45.9","26.6","23.3","2","0","0","0","—","—","0","102","aircraft-printer","Two-seat tracked workshop · stabilizers · vehicle print bed","12","1592"
"equipment-printer","Gear and weapon printer","Fleet","Facilities","12.5","12.3","10.7","0","0","0","0","—","—","0","45","Construction-scale fabrication","Compact equipment fabrication · shared layer reveal · full-size gear","4","224"
"aircraft-printer","Aircraft fabrication gantry","Fleet","Facilities","137.8","141.1","43.5","0","0","0","0","—","—","0","297","Construction-scale fabrication","Full-size aircraft print bed · carrier deck installation","4","224"
"cloning-vat","Cloning vat","Fleet","Facilities","13.5","9.8","12","0","0","0","0","—","—","0","44","Construction-scale fabrication","Split transparent doors · human-size chamber · front exit","6","256"
"fleet-warehouse","Fleet service warehouse","Fleet","Facilities","98.4","72.3","32.9","0","0","0","0","—","—","0","196","Construction-scale fabrication","Open vehicle entrance · removable roof · printer and cloning sockets","15","768"
"strategic-launcher","Strategic missile launcher","Fleet","Defense","85.3","36.1","19.4","0","0","0","0","1 nuclear-missile","—","0","128","aircraft-printer","Elevating launch rail · full-size long-range missile · vertical launch preview","3","1480"
"nanite-cloud","Dec-52 · cloud","Dec-52","Equipment","5.9","5.9","6","0","0","0","0","—","—","0","Assembly","Nanite assembly","Dec-52 nanite platform · Assembly cloud · converges into solid robotic forms","1","512"
"nanite-rat","Dec-52 · rat","Dec-52","Equipment","2.6","0.9","1.1","0","0","0","0","—","—","0","Assembly","Nanite assembly","Dec-52 nanite platform · Cutting rat · metal teeth and hook claws · articulated sensor tail · Iron Jackal badges","14","1036"
"nanite-hound","Dec-52 · hound","Dec-52","Equipment","5.2","2.3","3.7","0","0","0","0","—","—","0","Assembly","Nanite assembly","Dec-52 nanite platform · Pit-bull robot · broad cutting jaw · articulated camera tail · Iron Jackal badges","14","1016"
"nanite-mech","Dec-52 · remote mech","Dec-52","Equipment","3.2","2.4","6.2","0","0","0","0","—","2 cell","0","Assembly","Nanite assembly","Dec-52 nanite platform · Slim remote robot · transforming wrist weapons · compact flight pack · company chest emblem","19","1238"
"jet-c","Two-seat escort jet","Fleet","Aircraft","55.1","51.2","24.1","2","0","1","0","—","2 large / 4 small","0","133","aircraft-printer","Side-by-side pilot and weapons officer · ventral turret · six shared missiles","28","3100"
"aircraft-carrier","Aircraft carrier · mobile airbase","Fleet","Sea","826.8","157.5","128","2","0","0","0","—","—","0","787","Construction-scale fabrication","18 Strike jet lengths · open stern hangar · removable flight deck · bridge seats","30","8776"
"cargo-transport","Armored cargo transport","Fleet","Ground","27.9","10.3","10.1","2","0","0","0","—","—","0","52","vehicle-printer / mobile-fabricator / aircraft-printer","Two-seat protected cab · long cargo bed · rear loading ramp","21","1440"
"runway-strip","Modular airstrip","Fleet","Facilities","1378","203.4","1.5","0","0","0","0","—","—","0","239","Construction-scale fabrication","Runway · threshold markings · taxi apron · reusable ground module","4","1068"
"vehicle-printer","Vehicle fabrication gantry","Fleet","Facilities","59.1","45.9","31.6","0","0","0","0","—","—","0","143","Construction-scale fabrication","Open fabrication bay · moving print gantry · layer reveal study","7","260"
"missile-cell","Cell missile · folded fins","Fleet","Ordnance","3.1","0.6","0.6","0","0","0","0","—","—","0","12","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Shared seeker body · narrow folded fins · fits mech cells","1","216"
"hoverboard","Thrust hoverboard","Fleet","Ground","5.4","1.8","0.8","1","0","0","0","—","—","0","15","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Skating deck · two foot pads · rear thrust · standing rider mount","6","360"
"drone-carrier","Drone carrier · Kestrel","Fleet","Aircraft","59.1","68.8","12.2","1","0","1","0","—","—","0","121","aircraft-printer","Flying wing · eight swarm drones · two gun drones · release racks","23","4948"
"drone-tank","Drone tank · Sentinel","Fleet","Ground","13.8","8.5","7","0","0","0","1","—","—","2","37","vehicle-printer / mobile-fabricator / aircraft-printer","Unmanned tracked vehicle · remote gun turret · sensor mast · empty missile cells","25","1056"
"mech-light","Light mech · outrider","Fleet","Mechs","9.5","10.8","10.5","1","0","2","0","—","—","8","40","vehicle-printer / mobile-fabricator / aircraft-printer","Fast quadruped · twin machine guns · eight empty missile cells","21","2384"
"mech-medium","Medium mech · all-purpose","Fleet","Mechs","12.5","13.9","15.1","1","0","1","1","—","—","6","51","vehicle-printer / mobile-fabricator / aircraft-printer","Biped · recoil cannon · machine gun · six empty missile cells","15","1944"
"mech-heavy","Heavy mech · two-crew","Fleet","Mechs","16.1","23.5","19","2","0","1","1","—","—","18","67","vehicle-printer / aircraft-printer","Armored biped · pilot/cannon seat · independent roof gunner · missile cells","17","3008"
"spider-mine","Spider mine","Fleet","Equipment","3.6","3.3","1.2","0","0","0","0","—","—","0","16","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Six hooked legs · circular scanning light · brace and pursuit study","17","1232"
"spider-mine-buried","Spider mine · concealed","Fleet","Equipment","5.9","5.9","1.2","0","0","0","0","—","—","0","19","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Dirt mound · exposed scanner crown · emerging pursuit study","18","1452"
"nuclear-bomb","Nuclear bomb · air-dropped","Fleet","Ordnance","32.8","14.7","14.7","0","0","0","0","—","—","0","67","vehicle-printer / aircraft-printer","Strategic surface-strike gravity bomb · 10 m · finned tail · aircraft suspension","13","1032"
"nuclear-missile","Nuclear missile · long-range","Fleet","Ordnance","72.2","26","14.2","0","0","0","0","—","—","0","100","aircraft-printer","Strategic surface-strike missile · 22 m · swept wings · rear exhaust","9","1204"
"radar-station","Radar station","Fleet","Defense","12.5","12.5","14.8","0","0","0","0","—","—","0","49","vehicle-printer / mobile-fabricator / aircraft-printer","Rotating antenna · mast · outriggers · power cabinet","8","532"
"aa-gun-auto","Automatic anti-air gun","Fleet","Defense","12.5","10.5","9.1","0","0","0","2","—","—","0","41","vehicle-printer / mobile-fabricator / aircraft-printer","Twin cannon · tracking sensor · independent azimuth and elevation","16","1120"
"aa-gun-manned","Seated anti-air gun","Fleet","Defense","12.5","10.5","9.1","1","0","0","2","—","—","0","41","vehicle-printer / mobile-fabricator / aircraft-printer","Operator seat · twin cannon · turning and elevation pivots","16","1264"
"aa-missile-auto","Automatic missile battery","Fleet","Defense","14.1","14.1","12.3","0","0","0","0","—","2 large / 2 small","0","50","vehicle-printer / mobile-fabricator / aircraft-printer","Automatic mount · shared seeker missiles · turning and elevation","12","1408"
"aa-missile-manned","Seated missile battery","Fleet","Defense","14.1","14.1","12.3","1","0","0","0","—","2 large / 2 small","0","50","vehicle-printer / mobile-fabricator / aircraft-printer","Operator seat · shared small and large seeker missiles","12","1552"
"jet-a","Strike jet","Fleet","Aircraft","45.9","44.3","18.8","1","0","2","0","—","2 large / 4 small","0","111","aircraft-printer","Broad wings · moving control surfaces · six removable missiles","28","3132"
"jet-b","Interceptor","Fleet","Aircraft","43.3","40.3","18.9","1","0","1","0","—","2 large / 4 small","0","106","aircraft-printer","Framed canopy · swept wings · moving surfaces · six missiles","26","2968"
"helicopter","Attack helicopter","Fleet","Aircraft","41.3","31.4","11.3","2","0","1","0","—","2 large / 8 cell","0","83","vehicle-printer / aircraft-printer","Tandem canopy · four-blade rotor · tail rotor · missile stub wings","32","4236"
"tank","Battle tank","Fleet","Ground","26.6","13.2","11","2","0","1","1","—","—","0","56","vehicle-printer / mobile-fabricator / aircraft-printer","Tracked hull · independent turret and barrel","15","1868"
"bomber","Heavy bomber","Fleet","Aircraft","98.4","121.6","27.9","2","0","1","0","1 nuclear-bomb","2 large / 4 small","0","220","aircraft-printer","Four engines · full-size strategic bomb bay · six seekers · ventral machine gun","32","4956"
"motorcycle","Pursuit motorcycle","Fleet","Ground","7.7","2.7","4.1","1","0","0","0","—","—","0","22","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Sport fairing · low clip-ons · raised tail · wide rear tire","14","852"
"atv","ATV","Fleet","Ground","7.2","4.7","4.3","1","0","0","0","—","—","0","25","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Quad reference included · separate wheel pivots","13","692"
"humvee","Armored utility","Fleet","Ground","19.4","9.5","12.3","7","0","1","0","—","—","0","48","vehicle-printer / mobile-fabricator / aircraft-printer","Six cabin seats · roof gunner · extended cargo trunk · armored tailgate","31","2728"
"jetpack","Jetpack","Fleet","Equipment","1.6","2.3","2.6","0","0","0","0","—","—","0","15","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Twin downward nozzles · torso mount · harness","3","320"
"swarm-drone","Swarm drone","Fleet","Drones","2.4","2.9","1.2","0","0","0","0","—","—","0","15","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Compact quad · four independent rotors","11","348"
"gun-drone","Machine-gun drone","Fleet","Drones","3.4","3.9","1.6","0","0","1","0","—","—","0","17","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Larger quad · underslung gun pivot","12","444"
"kamikaze-drone","Kamikaze drone","Fleet","Drones","1.4","1.4","0.9","0","0","0","0","—","—","0","12","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Provisional · red central rotor · missing image","5","304"
"aa-tank","Anti-air missile tank","Fleet","Ground","21","13.3","11.8","2","0","1","0","—","4 large","0","54","vehicle-printer / mobile-fabricator / aircraft-printer","Tracked missile carrier · elevating racks · rotating sensor","23","2856"
"missile-small","Small seeker missile","Fleet","Ordnance","3.1","1.2","1.2","0","0","0","0","—","—","0","13","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Compact fictional seeker · mounting and exhaust sockets","3","216"
"missile-large","Large seeker missile","Fleet","Ordnance","7.9","3","3","0","0","0","0","—","—","0","21","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Heavy fictional seeker · cruciform fins · mounting socket","3","216"
